match_date,Venue,GF,GA,xG,xGA
2017-08-12,Home,0,0,2.0,0.3
2017-08-19,Home,3,2,2.1,2.0
2017-08-26,Away,0,0,0.7,1.4
2017-09-09,Home,0,2,0.3,0.7
2017-09-16,Away,1,0,1.0,2.0
2017-09-23,Home,0,1,1.0,1.2
2017-09-30,Away,1,2,1.4,2.4
2017-10-15,Home,2,2,1.5,1.2
2017-10-21,Home,1,0,2.0,0.4
2017-10-29,Away,1,1,0.3,1.2
2017-11-04,Home,0,1,0.7,0.2
2017-11-18,Away,0,3,0.4,2.0
2017-11-26,Home,4,1,2.0,0.2
2017-11-29,Away,1,2,1.3,1.4
2017-12-03,Away,1,1,1.5,0.9
2017-12-10,Home,1,1,1.3,0.7
2017-12-13,Home,1,4,1.5,1.8
2017-12-16,Away,0,1,0.5,1.4
2017-12-23,Home,1,1,1.3,1.1
2017-12-26,Away,2,5,0.8,3.0
2017-12-30,Away,0,0,0.6,1.7
2018-01-02,Home,1,2,0.4,1.3
2018-01-13,Away,2,2,0.9,2.0
2018-01-21,Home,1,1,0.8,1.2
2018-01-31,Home,1,1,1.4,1.1
2018-02-03,Away,3,2,0.9,0.8
2018-02-11,Home,0,2,0.9,1.9
2018-02-24,Away,1,1,0.8,1.3
2018-03-03,Home,0,0,0.9,0.8
2018-03-10,Away,0,3,0.3,1.3
2018-03-31,Away,0,3,0.5,1.4
2018-04-08,Away,2,3,2.0,1.6
2018-04-14,Home,2,3,1.0,0.8
2018-04-19,Away,0,0,0.8,0.6
2018-04-28,Home,2,1,1.5,0.7
2018-05-05,Away,1,1,0.7,0.5
2018-05-08,Away,1,0,1.2,0.5
2018-05-13,Home,0,1,0.5,0.8
